#LIBRARY    ENDF/B-VII.1
#REACTION   N-14(N,P)C-14,SIG
#NUCLEUS    N-14
#MF         3
#MT         103
#E,eV        Sig,b        Interpolation
 1.182E+06   0.01091      Lin-Lin
 1.183E+06   0.011076     Lin-Lin
 1.1832E+06  0.011112     Lin-Lin
 1.1834E+06  0.011149     Lin-Lin
 1.1836E+06  0.011187     Lin-Lin
 1.1838E+06  0.011225     Lin-Lin
 1.184E+06   0.011264     Lin-Lin
 1.1842E+06  0.011299     Lin-Lin
 1.1844E+06  0.011327     Lin-Lin
 1.1846E+06  0.011344     Lin-Lin
 1.1848E+06  0.011351     Lin-Lin
 1.185E+06   0.01136      Lin-Lin
 1.1852E+06  0.011378     Lin-Lin
 1.1854E+06  0.011405     Lin-Lin
 1.1856E+06  0.011439     Lin-Lin
 1.1858E+06  0.011475     Lin-Lin
 1.186E+06   0.011514     Lin-Lin
 1.1862E+06  0.011554     Lin-Lin
 1.1864E+06  0.011594     Lin-Lin
 1.1866E+06  0.011635     Lin-Lin
 1.1868E+06  0.011677     Lin-Lin
 1.187E+06   0.011719     Lin-Lin
 1.1872E+06  0.011761     Lin-Lin
 1.1874E+06  0.011804     Lin-Lin
 1.1876E+06  0.011848     Lin-Lin
 1.1878E+06  0.011892     Lin-Lin
 1.188E+06   0.011937     Lin-Lin
 1.189E+06   0.012171     Lin-Lin
 1.19E+06    0.012426     Lin-Lin
 1.192E+06   0.013015     Lin-Lin
 1.194E+06   0.01375      Lin-Lin
 1.196E+06   0.014701     Lin-Lin
 1.198E+06   0.015975     Lin-Lin
 1.2E+06     0.017739     Lin-Lin
 1.205E+06   0.026014     Lin-Lin
 1.21E+06    0.03596      Lin-Lin
 1.215E+06   0.028134     Lin-Lin
 1.22E+06    0.020917     Lin-Lin
 1.225E+06   0.018107     Lin-Lin
 1.23E+06    0.017095     Lin-Lin
 1.235E+06   0.016827     Lin-Lin
 1.24E+06    0.016918     Lin-Lin
 1.245E+06   0.017212     Lin-Lin
 1.25E+06    0.017638     Lin-Lin
 1.255E+06   0.018165     Lin-Lin
 1.26E+06    0.018779     Lin-Lin
 1.265E+06   0.019478     Lin-Lin
 1.27E+06    0.020267     Lin-Lin
 1.275E+06   0.021157     Lin-Lin
 1.28E+06    0.022168     Lin-Lin
 1.285E+06   0.023325     Lin-Lin
 1.29E+06    0.024666     Lin-Lin
 1.295E+06   0.026244     Lin-Lin
 1.3E+06     0.028135     Lin-Lin
 1.305E+06   0.030454     Lin-Lin
 1.31E+06    0.033379     Lin-Lin
 1.315E+06   0.037199     Lin-Lin
 1.32E+06    0.042419     Lin-Lin
 1.325E+06   0.049972     Lin-Lin
 1.33E+06    0.061724     Lin-Lin
 1.335E+06   0.081619     Lin-Lin
 1.34E+06    0.11776      Lin-Lin
 1.345E+06   0.1791       Lin-Lin
 1.35E+06    0.23304      Lin-Lin
 1.355E+06   0.21341      Lin-Lin
 1.36E+06    0.1719       Lin-Lin
 1.362E+06   0.1607       Lin-Lin
 1.364E+06   0.15303      Lin-Lin
 1.366E+06   0.14845      Lin-Lin
 1.368E+06   0.14649      Lin-Lin
 1.37E+06    0.14679      Lin-Lin
 1.372E+06   0.14905      Lin-Lin
 1.374E+06   0.15308      Lin-Lin
 1.376E+06   0.15876      Lin-Lin
 1.378E+06   0.16601      Lin-Lin
 1.38E+06    0.17479      Lin-Lin
 1.385E+06   0.20323      Lin-Lin
 1.39E+06    0.24002      Lin-Lin
 1.395E+06   0.28146      Lin-Lin
 1.4E+06     0.31873      Lin-Lin
 1.402E+06   0.32954      Lin-Lin
 1.404E+06   0.33675      Lin-Lin
 1.406E+06   0.33973      Lin-Lin
 1.408E+06   0.33822      Lin-Lin
 1.41E+06    0.33233      Lin-Lin
 1.415E+06   0.3021       Lin-Lin
 1.42E+06    0.25999      Lin-Lin
 1.425E+06   0.21728      Lin-Lin
 1.43E+06    0.17992      Lin-Lin
 1.435E+06   0.14946      Lin-Lin
 1.44E+06    0.12537      Lin-Lin
 1.445E+06   0.10649      Lin-Lin
 1.45E+06    0.091668     Lin-Lin
 1.455E+06   0.079946     Lin-Lin
 1.46E+06    0.070581     Lin-Lin
 1.465E+06   0.06302      Lin-Lin
 1.47E+06    0.056848     Lin-Lin
 1.475E+06   0.051757     Lin-Lin
 1.48E+06    0.047517     Lin-Lin
 1.485E+06   0.043954     Lin-Lin
 1.49E+06    0.040935     Lin-Lin
 1.495E+06   0.038357     Lin-Lin
 1.5E+06     0.036141     Lin-Lin
 1.505E+06   0.034224     Lin-Lin
 1.51E+06    0.032556     Lin-Lin
 1.515E+06   0.031098     Lin-Lin
 1.52E+06    0.029817     Lin-Lin
 1.525E+06   0.028687     Lin-Lin
 1.53E+06    0.027687     Lin-Lin
 1.535E+06   0.026798     Lin-Lin
 1.54E+06    0.026007     Lin-Lin
 1.545E+06   0.025299     Lin-Lin
 1.55E+06    0.024666     Lin-Lin
 1.555E+06   0.024099     Lin-Lin
 1.56E+06    0.02359      Lin-Lin
 1.565E+06   0.023135     Lin-Lin
 1.57E+06    0.02273      Lin-Lin
 1.575E+06   0.022375     Lin-Lin
 1.58E+06    0.022073     Lin-Lin
 1.582E+06   0.021969     Lin-Lin
 1.584E+06   0.021876     Lin-Lin
 1.586E+06   0.021794     Lin-Lin
 1.588E+06   0.021723     Lin-Lin
 1.59E+06    0.021657     Lin-Lin
 1.595E+06   0.02141      Lin-Lin
 1.6E+06     0.020754     Lin-Lin
 1.605E+06   0.020095     Lin-Lin
 1.61E+06    0.019705     Lin-Lin
 1.615E+06   0.019422     Lin-Lin
 1.62E+06    0.019168     Lin-Lin
 1.625E+06   0.01892      Lin-Lin
 1.63E+06    0.018673     Lin-Lin
 1.635E+06   0.018424     Lin-Lin
 1.64E+06    0.018172     Lin-Lin
 1.645E+06   0.017915     Lin-Lin
 1.65E+06    0.017655     Lin-Lin
 1.655E+06   0.017391     Lin-Lin
 1.66E+06    0.017123     Lin-Lin
 1.665E+06   0.016852     Lin-Lin
